loss,cer,wer,acc
1.8554,0.8195,1.4297,0.3937
1.8772,0.8549,1.2473,0.3633
1.8750,0.9459,1.3629,0.3569
1.8623,0.9254,1.3833,0.3535
1.8015,0.6853,1.1516,0.4485
1.9113,0.8526,1.0916,0.3735
1.8147,0.9117,1.2764,0.3735
1.8232,0.5703,1.1571,0.4260
1.9171,0.8061,1.1613,0.3858
1.8306,0.7948,1.2852,0.3916
1.8656,0.9545,1.4228,0.3592
1.8734,0.7860,1.2914,0.3939
1.8806,0.9401,1.3056,0.3580
1.8674,0.7504,1.2214,0.4193
1.8883,1.1093,1.6182,0.3133
1.8137,0.6421,1.2125,0.3883
1.8205,0.7008,1.2461,0.4248
1.8802,0.6726,1.2237,0.4370
1.8216,0.7213,1.3970,0.4299
1.8022,1.0573,1.1289,0.3309
1.9289,0.7302,1.1795,0.3836
1.8817,0.5893,1.1818,0.4778
1.9003,0.8709,1.1338,0.3700
1.8948,0.6290,1.1373,0.4444
1.8038,0.5522,1.0762,0.4718
1.8455,0.9417,1.2544,0.3675
1.9064,0.6896,1.1939,0.4339
1.8593,1.0341,1.3406,0.3408
1.8323,0.7610,1.2038,0.4168
1.8066,0.7246,1.3223,0.4303
1.9521,0.7978,1.3639,0.3769
1.8825,0.7460,1.1559,0.4112
1.8584,0.7850,1.1951,0.3973
1.9534,0.8828,1.2402,0.3504
1.8049,0.9668,1.2454,0.3680
1.8339,0.8689,1.1301,0.3829
1.8479,0.8271,1.2023,0.3957
1.8496,0.8787,1.1915,0.3775
1.9611,0.9602,1.1053,0.3391
1.9253,0.9234,1.3258,0.3516
1.8432,0.8475,1.1633,0.3868
1.8708,0.7831,1.2271,0.4011
1.9225,1.0214,1.6205,0.3327
1.9058,0.9452,1.2479,0.3497
1.9248,0.7008,1.0433,0.4209
1.8950,0.7383,1.1503,0.4125
1.8714,0.7225,1.2150,0.4202
1.8957,0.9309,1.3585,0.3548
1.8380,0.8940,1.3407,0.3783
1.8216,0.8597,1.1938,0.3864
1.8706,0.8962,1.3942,0.3674
1.8510,0.9440,1.4102,0.3583
1.8220,0.7140,1.2609,0.4267
1.8833,1.1048,1.5935,0.3264
1.7642,0.6248,1.1361,0.4763
1.7846,0.8191,1.2400,0.4047
1.8384,0.9269,1.3348,0.3681
1.7932,0.5880,1.1637,0.4809
1.8235,0.8587,1.3127,0.3837
1.8124,1.0132,1.3051,0.3439
1.7891,0.6122,1.1062,0.4763
1.8134,1.0933,1.2694,0.3356
1.7964,0.9867,1.3319,0.3619
1.7779,0.7153,1.0993,0.4405
1.8002,0.7129,1.1304,0.4402
1.7705,0.7113,1.1992,0.4421
1.7681,0.9886,1.3484,0.3678
1.7743,0.7988,1.3882,0.4125
1.8411,0.8369,1.2616,0.3838
1.7695,0.7991,1.2463,0.4167
1.7518,0.7673,1.2652,0.4170
1.7852,0.8925,1.2096,0.3728
1.8054,0.7912,1.2652,0.3741
1.7742,0.5867,1.0586,0.4870
1.8080,0.8094,1.1503,0.3938
1.8118,0.6387,1.2022,0.4673
1.7755,0.9611,1.0906,0.3644
1.7713,0.6085,1.0836,0.4778
1.7805,0.7944,1.2068,0.4142
1.7738,0.6957,1.1447,0.4377
1.7805,0.7770,1.2698,0.4211
1.7621,0.7229,1.1129,0.4379
1.7729,0.7540,1.2344,0.4262
1.8345,0.9012,1.1888,0.3739
1.7307,0.7936,1.1593,0.4197
1.7922,0.8733,1.3277,0.3834
1.8143,0.8435,1.2806,0.3875
1.7316,1.0295,1.3992,0.3516
1.7691,0.6557,1.1208,0.4643
1.7703,0.6074,1.1937,0.4783
1.7435,0.5279,1.0159,0.5176
1.8221,0.7771,1.1533,0.4112
1.7931,1.0476,1.5708,0.3418
1.7745,0.7828,1.3586,0.4104
1.7451,0.8176,1.2171,0.4128
1.8600,0.7427,1.0507,0.4184
1.7096,1.0813,1.2070,0.3518
1.7747,0.6492,1.2544,0.4603
1.7586,0.6751,1.0647,0.4515
1.8252,0.8885,1.3144,0.3754
1.7865,0.6509,1.1835,0.4619
1.9785,1.0406,1.2256,0.3265
1.7785,0.6801,1.1975,0.4470
1.7882,0.8690,1.4202,0.3972
1.8256,0.7272,1.0456,0.4363
1.8116,0.6881,1.0523,0.4440
1.7621,0.7334,1.2541,0.4354
1.8091,0.6034,1.0478,0.4753
1.8123,0.8021,1.2750,0.4043
1.8243,0.6451,1.0981,0.4570
1.8435,0.6736,1.1652,0.4410
1.8692,0.7246,1.1210,0.4208
1.8154,0.8154,1.2422,0.4047
1.7673,0.6318,1.0852,0.4739
1.8614,0.9226,1.2114,0.3651
1.8125,0.7314,1.0772,0.4264
1.8108,0.7509,1.2612,0.4163
1.8267,0.7884,1.1079,0.4082
1.7551,0.6959,1.1150,0.4474
1.8012,0.7123,1.0842,0.4393
1.8646,0.9980,1.4462,0.3486
1.7627,0.6654,1.2022,0.4677
1.8200,0.7365,1.2188,0.4143
1.8087,1.0413,1.2388,0.3425
1.7847,0.8425,1.2096,0.4036
1.8061,1.0799,1.5421,0.3409
1.8657,0.6659,1.1472,0.4432
1.7946,0.7764,1.1356,0.4233
1.9158,1.0339,1.4009,0.3342
1.8421,1.2396,1.3682,0.3018
1.7681,0.7653,1.1331,0.4129
1.8260,0.8465,1.2517,0.3855
1.8148,0.8247,1.3031,0.3999
1.8143,0.9822,1.5304,0.3528
1.8114,0.9291,1.0741,0.3731
1.7975,0.6857,1.1088,0.4355
1.8192,0.7984,1.2687,0.4073
1.8150,0.5468,1.0179,0.4990
1.8465,1.0453,1.2738,0.3427
1.8288,0.7437,1.2045,0.4238
1.9060,0.8169,1.1308,0.3925
1.8700,0.6673,1.1689,0.4408
1.8653,0.7367,1.0667,0.4171
1.7844,0.6882,1.1547,0.4490
1.8670,1.3600,1.5225,0.2851
1.8483,0.9096,1.4362,0.3723
1.8428,0.8004,1.3412,0.3970
1.8339,0.6079,1.0757,0.4685
1.7782,0.5540,1.0378,0.5028
1.8552,0.7134,1.2215,0.4066
1.9055,0.9489,1.6820,0.3527
1.8028,0.9866,1.3571,0.3624
1.8390,0.7230,1.1603,0.4216
1.8525,0.7901,1.0270,0.4006
1.8665,0.9217,1.5438,0.3602
1.7935,0.6030,1.0772,0.4769
1.8586,1.0119,1.4120,0.3517
1.8577,0.7737,1.1824,0.4040
1.8339,0.8892,1.2367,0.3746
1.9039,1.1162,1.2510,0.3161
1.7993,0.8312,1.3006,0.3907
1.8473,0.9827,1.4467,0.3553
1.8582,0.9843,1.4854,0.3520
1.8051,0.7684,1.2355,0.4072
1.8369,1.2277,1.6360,0.3055
1.8818,0.8669,1.2014,0.3772
1.8165,0.7248,1.0938,0.4313
1.7817,0.5792,1.1276,0.4894
1.8086,0.7381,1.0712,0.4268
1.9025,0.7878,0.9967,0.3971
1.8697,0.8131,1.1677,0.3911
1.8645,0.9259,1.2551,0.3588
1.7939,0.6676,1.0970,0.4529
1.8056,0.6662,1.0069,0.4525
1.8264,1.0021,1.0193,0.3569
1.9253,1.0000,1.2146,0.3416
1.8018,1.0037,1.2103,0.3507
1.8084,0.9210,1.1184,0.3745
1.8524,0.9984,1.2650,0.3498
